,State,District,notes,active,confirmed,migratedother,deceased,recovered,delta,delta_confirmed,delta_deceased,delta_recovered
105,Bihar,Nawada,,2,10344,0,178,10164,"{'confirmed': 2, 'deceased': 0, 'recovered': 2}",2,0,2
106,Bihar,Patna,,38,146831,0,2330,144463,"{'confirmed': 5, 'deceased': 0, 'recovered': 3}",5,0,3
107,Bihar,Purnia,,3,24406,0,180,24223,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
108,Bihar,Rohtas,,7,13958,0,269,13682,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
109,Bihar,Saharsa,,3,17591,0,134,17454,"{'confirmed': 2, 'deceased': 0, 'recovered': 2}",2,0,2
110,Bihar,Samastipur,,19,19977,0,154,19804,"{'confirmed': 2, 'deceased': 0, 'recovered': 7}",2,0,7
111,Bihar,Saran,,1,23267,0,255,23011,"{'confirmed': 3, 'deceased': 0, 'recovered': 3}",3,0,3
112,Bihar,Sheikhpura,,2,7690,0,75,7613,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
113,Bihar,Sheohar,,1,4395,0,36,4358,"{'confirmed': 0, 'deceased': 0, 'recovered': 1}",0,0,1
114,Bihar,Sitamarhi,,3,9169,0,127,9039,"{'confirmed': 1, 'deceased': 0, 'recovered': 3}",1,0,3
115,Bihar,Siwan,,0,15193,0,170,15023,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
116,Bihar,Supaul,,1,17202,0,128,17073,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
117,Bihar,Vaishali,,12,19806,1,192,19601,"{'confirmed': 1, 'deceased': 0, 'recovered': 1}",1,0,1
118,Bihar,West Champaran,,4,20885,0,358,20523,"{'confirmed': 1, 'deceased': 0, 'recovered': 1}",1,0,1
119,Chandigarh,Chandigarh,,35,61997,0,811,61151,"{'confirmed': 5, 'deceased': 0, 'recovered': 1}",5,0,1
120,Chhattisgarh,Other State,,19,766,0,131,616,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
121,Chhattisgarh,Balod,,23,27256,0,396,26837,"{'confirmed': 0, 'deceased': 0, 'recovered': 3}",0,0,3
122,Chhattisgarh,Baloda Bazar,,124,43005,0,470,42411,"{'confirmed': 4, 'deceased': 0, 'recovered': 8}",4,0,8
123,Chhattisgarh,Balrampur,,30,20276,0,118,20128,"{'confirmed': 1, 'deceased': 0, 'recovered': 0}",1,0,0
124,Chhattisgarh,Bametara,,6,19943,0,236,19701,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
125,Chhattisgarh,Bastar,,154,20927,0,188,20585,"{'confirmed': 16, 'deceased': 0, 'recovered': 6}",16,0,6
126,Chhattisgarh,Bijapur,,50,8255,0,54,8151,"{'confirmed': 2, 'deceased': 0, 'recovered': 6}",2,0,6
127,Chhattisgarh,Bilaspur,,82,65457,0,1205,64170,"{'confirmed': 6, 'deceased': 0, 'recovered': 3}",6,0,3
128,Chhattisgarh,Dakshin Bastar Dantewada,,30,10746,0,24,10692,"{'confirmed': 3, 'deceased': 0, 'recovered': 12}",3,0,12
129,Chhattisgarh,Dhamtari,,33,27188,0,544,26611,"{'confirmed': 2, 'deceased': 0, 'recovered': 7}",2,0,7
130,Chhattisgarh,Durg,,127,96644,0,1794,94723,"{'confirmed': 1, 'deceased': 0, 'recovered': 5}",1,0,5
131,Chhattisgarh,Gariaband,,22,19668,0,194,19452,"{'confirmed': 0, 'deceased': 0, 'recovered': 8}",0,0,8
132,Chhattisgarh,Janjgir Champa,,102,57429,0,830,56497,"{'confirmed': 8, 'deceased': 0, 'recovered': 17}",8,0,17
133,Chhattisgarh,Jashpur,,92,26924,0,212,26620,"{'confirmed': 5, 'deceased': 0, 'recovered': 5}",5,0,5
134,Chhattisgarh,Kabeerdham,,9,22768,0,267,22492,"{'confirmed': 1, 'deceased': 0, 'recovered': 0}",1,0,0
135,Chhattisgarh,Kondagaon,,24,13062,0,99,12939,"{'confirmed': 3, 'deceased': 0, 'recovered': 2}",3,0,2
136,Chhattisgarh,Korba,,66,54569,0,575,53928,"{'confirmed': 3, 'deceased': 0, 'recovered': 4}",3,0,4
137,Chhattisgarh,Koriya,,41,26918,0,175,26702,"{'confirmed': 6, 'deceased': 0, 'recovered': 1}",6,0,1
138,Chhattisgarh,Mahasamund,,33,31319,0,364,30922,"{'confirmed': 2, 'deceased': 1, 'recovered': 5}",2,1,5
139,Chhattisgarh,Mungeli,,14,23891,0,167,23710,"{'confirmed': 1, 'deceased': 0, 'recovered': 3}",1,0,3
140,Chhattisgarh,Narayanpur,,30,4003,0,14,3959,"{'confirmed': 0, 'deceased': 0, 'recovered': 7}",0,0,7
141,Chhattisgarh,Raigarh,,60,62463,0,978,61425,"{'confirmed': 2, 'deceased': 0, 'recovered': 10}",2,0,10
142,Chhattisgarh,Raipur,,121,157796,0,3139,154536,"{'confirmed': 4, 'deceased': 0, 'recovered': 9}",4,0,9
143,Chhattisgarh,Rajnandgaon,,12,56011,0,514,55485,"{'confirmed': 1, 'deceased': 0, 'recovered': 5}",1,0,5
144,Chhattisgarh,Sukma,,48,7967,0,20,7899,"{'confirmed': 5, 'deceased': 0, 'recovered': 8}",5,0,8
145,Chhattisgarh,Surajpur,,40,29015,0,224,28751,"{'confirmed': 0, 'deceased': 0, 'recovered': 3}",0,0,3
146,Chhattisgarh,Surguja,,34,33638,0,245,33359,"{'confirmed': 1, 'deceased': 0, 'recovered': 3}",1,0,3
147,Chhattisgarh,Uttar Bastar Kanker,,118,23530,0,222,23190,"{'confirmed': 6, 'deceased': 0, 'recovered': 8}",6,0,8
148,Chhattisgarh,Gaurela Pendra Marwahi,,13,12005,0,146,11846,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
149,Delhi,Central Delhi,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,184,184,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
150,Delhi,East Delhi,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,38,38,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
151,Delhi,New Delhi,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,37,37,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
152,Delhi,North Delhi,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,60,60,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
153,Delhi,North East Delhi,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,25,25,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
154,Delhi,North West Delhi,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,31,32,0,1,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
155,Delhi,Shahdara,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,48,48,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
156,Delhi,South Delhi,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,70,70,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
157,Delhi,South East Delhi,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,130,130,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
158,Delhi,South West Delhi,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,42,42,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
159,Delhi,West Delhi,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,122,122,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
160,Delhi,Unknown,,-293,1436101,0,25067,1411327,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
161,Dadra and Nagar Haveli and Daman and Diu,Other State,,0,0,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
162,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,,3,5905,5,3,5894,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
163,Dadra and Nagar Haveli and Daman and Diu,Daman,,1,3534,26,1,3506,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
164,Dadra and Nagar Haveli and Daman and Diu,Diu,,3,1218,0,0,1215,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
165,Goa,Other State,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,9,200,0,1,190,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
