,,,notes,active,confirmed,migratedother,deceased,recovered,delta,delta_confirmed,delta_deceased,delta_recovered
Goa,South Goa,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,1978,3511,0,126,1407,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Goa,Unknown,0,,-2643,165809,0,2972,165480,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Other State,0,,0,162,0,3,159,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Ahmedabad,0,,61,238022,0,3411,234550,"{'confirmed': 7, 'deceased': 0, 'recovered': 7}",7,0,7
Gujarat,Amreli,0,,4,10806,0,102,10700,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Anand,0,,5,9623,0,49,9569,"{'confirmed': 0, 'deceased': 0, 'recovered': 4}",0,0,4
Gujarat,Aravalli,0,,0,5183,0,78,5105,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Banaskantha,0,,0,13631,0,162,13469,"{'confirmed': 0, 'deceased': 0, 'recovered': 1}",0,0,1
Gujarat,Bharuch,0,,3,11425,0,118,11304,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Bhavnagar,0,,4,21413,0,300,21109,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Botad,0,,1,2218,0,42,2175,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Chhota Udaipur,0,,0,3395,0,38,3357,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Dahod,0,,2,9943,0,38,9903,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Dang,0,,0,864,0,18,846,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Devbhumi Dwarka,0,,0,4172,0,82,4090,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Gandhinagar,0,,7,20740,0,205,20528,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Gir Somnath,0,,2,8555,0,67,8486,"{'confirmed': 1, 'deceased': 0, 'recovered': 0}",1,0,0
Gujarat,Jamnagar,0,,7,34949,0,477,34465,"{'confirmed': 1, 'deceased': 0, 'recovered': 3}",1,0,3
Gujarat,Junagadh,0,,4,20469,0,271,20194,"{'confirmed': 0, 'deceased': 0, 'recovered': 4}",0,0,4
Gujarat,Kheda,0,,5,10422,0,48,10369,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Kutch,0,,1,12587,0,145,12441,"{'confirmed': 0, 'deceased': 0, 'recovered': 1}",0,0,1
Gujarat,Mahisagar,0,,1,8192,0,72,8119,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Mehsana,0,,5,24414,0,177,24232,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Morbi,0,,0,6502,0,87,6415,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Narmada,0,,0,5952,0,15,5937,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Navsari,0,,3,7155,0,24,7128,"{'confirmed': 1, 'deceased': 0, 'recovered': 0}",1,0,0
Gujarat,Panchmahal,0,,0,11770,0,70,11700,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Patan,0,,2,11624,0,129,11493,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Porbandar,0,,0,3474,0,19,3455,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Rajkot,0,,14,57920,0,723,57183,"{'confirmed': 0, 'deceased': 0, 'recovered': 1}",0,0,1
Gujarat,Sabarkantha,0,,0,9314,0,157,9157,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Surat,0,,17,143490,0,1954,141519,"{'confirmed': 3, 'deceased': 0, 'recovered': 3}",3,0,3
Gujarat,Surendranagar,0,,0,8121,0,136,7985,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Tapi,0,,2,4438,0,23,4413,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Gujarat,Vadodara,0,,43,77912,0,788,77081,"{'confirmed': 3, 'deceased': 0, 'recovered': 4}",3,0,4
Gujarat,Valsad,0,,1,6244,0,49,6194,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Himachal Pradesh,Bilaspur,0,,152,13084,1,79,12852,"{'confirmed': 19, 'deceased': 0, 'recovered': 4}",19,0,4
Himachal Pradesh,Chamba,0,,652,12805,2,151,12000,"{'confirmed': 105, 'deceased': 0, 'recovered': 35}",105,0,35
